,FHR
0,169.25
1,167.0
2,167.0
3,167.0
4,166.75
5,166.75
6,167.0
7,167.0
8,166.75
9,166.75
10,161.5
11,161.5
12,166.25
13,166.25
14,167.5
15,166.75
16,166.75
17,166.75
18,169.75
19,166.0
20,166.0
21,166.0
22,166.0
23,166.0
24,166.0
25,165.75
26,166.0
27,166.0
28,166.0
29,166.0
30,166.0
31,162.5
32,162.5
33,162.25
34,162.25
35,162.25
36,162.0
37,162.0
38,162.0
39,161.75
40,161.75
41,161.75
42,161.5
43,161.25
44,161.0
45,161.0
46,160.5
47,160.5
48,161.5
49,161.5
50,162.0
51,162.5
52,162.5
53,163.5
54,164.0
55,164.0
56,164.5
57,165.0
58,165.5
59,165.5
60,165.5
61,165.75
62,165.75
63,166.0
64,166.25
65,166.25
66,166.5
67,166.25
68,166.25
69,166.5
70,166.75
71,167.0
72,167.0
73,166.75
74,167.0
75,167.0
76,167.75
77,167.75
78,169.5
79,169.5
80,168.25
81,169.25
82,169.25
83,175.5
84,169.75
85,169.75
86,171.5
87,179.0
88,179.0
89,171.0
90,172.5
91,178.0
92,178.0
93,170.5
94,172.75
95,176.25
96,176.25
97,173.25
98,175.0
99,175.0
100,178.0
101,173.25
102,172.75
103,172.75
104,175.75
105,173.25
106,173.25
107,173.5
108,175.75
109,173.5
110,173.5
111,173.5
112,176.0
113,176.0
114,174.5
115,173.5
116,174.75
117,174.75
118,173.5
119,172.5
120,173.5
121,173.5
122,173.25
123,171.5
124,171.5
125,172.5
126,171.25
127,171.25
128,171.25
129,170.0
130,168.25
131,168.25
132,169.5
133,170.0
134,169.5
135,169.5
136,171.25
137,170.75
138,170.75
139,171.25
140,171.0
141,170.75
142,170.75
143,171.0
144,170.0
145,170.0
146,171.25
147,171.5
148,169.5
149,169.5
150,170.5
151,167.5
152,167.5
153,167.0
154,169.5
155,166.5
156,166.5
157,166.25
158,170.0
159,169.5
160,169.5
161,167.5
162,171.0
163,171.0
164,172.5
165,168.25
166,170.75
167,170.75
168,176.25
169,169.25
170,169.25
171,172.25
172,174.5
173,172.0
174,172.0
175,172.5
176,172.75
177,172.75
178,171.0
179,171.0
180,170.75
181,170.75
182,170.5
183,170.5
184,170.5
185,170.5
186,170.5
187,170.5
188,170.75
189,170.5
190,170.5
191,170.5
192,170.75
193,170.75
194,171.0
195,171.0
196,171.25
197,171.25
198,171.25
199,171.25
200,171.25
201,171.25
202,172.0
203,171.5
204,172.75
205,172.75
206,172.75
207,172.25
208,171.5
209,171.5
210,172.0
211,172.5
212,172.5
213,170.75
214,171.0
215,171.0
216,171.0
217,169.5
218,169.0
219,169.0
220,169.0
221,168.0
222,168.0
223,168.0
224,167.75
225,168.25
226,168.25
227,168.25
228,168.5
229,168.5
230,168.25
231,168.25
232,168.25
233,168.25
234,168.25
235,168.25
236,168.25
237,169.75
238,169.0
239,169.0
240,171.0
241,171.25
242,170.75
243,170.75
244,170.0
245,171.0
246,171.0
247,171.5
248,169.25
249,169.5
250,169.5
251,169.25
252,169.0
253,169.0
254,169.25
255,169.25
256,169.25
257,169.0
258,168.25
259,168.0
260,168.0
261,168.25
262,168.25
263,168.25
264,169.0
265,166.5
266,172.0
267,172.0
268,171.25
269,171.0
270,171.0
271,170.5
272,171.0
273,171.0
274,169.75
275,169.25
276,169.0
277,169.0
278,168.0
279,167.75
280,167.75
281,166.75
282,166.5
283,166.5
284,166.5
285,166.5
286,166.5
287,167.0
288,166.0
289,169.75
290,169.75
291,170.0
292,167.75
293,167.75
294,168.0
