,FHR
0,134.0
1,134.0
2,132.25
3,132.25
4,132.75
5,132.75
6,135.25
7,132.25
8,132.25
9,132.25
10,132.25
11,134.0
12,134.0
13,132.25
14,132.25
15,133.25
16,134.0
17,134.0
18,132.75
19,132.75
20,135.25
21,135.25
22,134.0
23,134.0
24,134.5
25,134.5
26,134.5
27,137.0
28,137.0
29,137.0
30,135.75
31,136.25
32,136.25
33,136.25
34,135.25
35,135.25
36,135.25
37,135.25
38,134.5
39,134.0
40,134.0
41,132.75
42,132.75
43,134.0
44,134.0
45,135.25
46,135.25
47,132.75
48,135.25
49,135.25
50,134.0
51,134.0
52,134.5
53,134.5
54,132.75
55,132.75
56,132.75
57,131.5
58,131.5
59,131.5
60,131.5
61,132.75
62,132.75
63,132.25
64,132.25
65,132.75
66,132.75
67,131.5
68,130.5
69,130.5
70,131.0
71,131.0
72,131.5
73,131.5
74,131.5
75,131.5
76,129.25
77,129.25
78,129.25
79,129.75
80,129.75
81,130.5
82,130.5
83,128.75
84,128.75
85,128.75
86,128.75
87,128.75
88,128.75
89,129.75
90,129.75
91,130.5
92,129.25
93,129.25
94,129.75
95,129.75
96,127.0
97,127.0
98,129.75
99,129.75
100,132.25
101,132.25
102,131.5
103,132.25
104,132.25
105,134.0
106,134.0
107,131.5
108,131.5
109,131.5
110,133.25
111,132.25
112,132.75
113,132.75
114,131.5
115,131.5
116,131.0
117,131.0
118,128.75
119,128.75
120,129.75
121,129.75
122,131.5
123,131.5
124,128.75
125,131.0
126,131.0
127,129.25
128,129.25
129,129.75
130,129.75
131,130.5
132,130.5
133,132.25
134,132.25
135,132.75
136,131.5
137,131.5
138,132.25
139,132.25
140,133.25
141,133.25
142,133.25
143,133.25
144,132.75
145,134.0
146,134.0
147,134.0
148,134.0
149,132.75
150,132.75
151,132.25
152,132.25
153,131.5
154,131.5
155,131.5
156,129.25
157,129.25
158,126.0
159,126.0
160,129.75
161,129.75
162,129.25
163,129.25
164,129.75
165,129.75
166,131.0
167,132.25
168,132.25
169,131.0
170,131.0
171,131.0
172,131.0
173,131.0
174,129.75
175,132.25
176,132.25
177,132.75
178,133.25
179,133.25
180,132.75
181,132.75
182,133.25
183,133.25
184,131.5
185,131.5
186,131.5
187,131.0
188,131.0
189,131.0
190,131.0
191,131.0
192,131.0
193,131.0
194,129.25
195,131.0
196,131.0
197,132.25
198,131.0
199,131.0
200,131.0
201,131.0
202,132.25
203,132.25
204,131.0
205,131.0
206,130.5
207,130.5
208,130.5
209,130.5
210,129.75
211,130.5
212,130.5
213,129.75
214,129.75
215,128.75
216,128.75
217,128.25
218,128.25
219,126.0
220,126.0
221,125.5
222,125.5
223,126.5
224,126.5
225,126.5
226,127.75
227,127.75
228,127.75
229,127.75
230,128.25
231,128.25
232,126.5
233,126.5
234,128.25
235,128.25
236,128.25
237,128.25
238,128.75
239,128.75
240,128.75
241,128.25
242,128.25
243,128.25
244,128.25
245,128.75
246,128.75
247,128.75
248,128.75
249,129.25
250,129.25
251,130.5
252,129.75
253,129.75
254,130.5
255,130.5
256,129.25
257,129.25
258,129.75
259,129.75
260,128.25
261,128.25
262,128.75
263,128.75
264,128.25
265,128.25
266,128.25
267,127.0
268,127.0
269,127.75
270,127.75
271,127.75
272,127.75
273,128.25
274,128.25
275,126.5
276,126.5
277,127.0
278,127.0
279,125.5
280,125.5
281,125.5
282,125.5
283,126.0
284,123.5
285,123.5
286,124.5
287,124.5
288,123.5
289,123.5
290,124.0
291,124.0
292,125.5
293,125.5
294,126.5
295,126.5
296,126.0
297,126.0
298,127.75
299,127.75
300,129.25
301,129.25
302,128.75
303,128.75
304,128.75
305,127.75
306,127.75
307,126.5
308,126.5
309,125.0
310,125.0
311,122.0
312,122.0
313,119.5
314,119.5
315,123.0
316,123.0
317,124.5
318,124.5
319,125.5
320,125.5
321,126.0
322,126.0
323,125.5
324,125.5
325,127.75
326,127.0
327,127.0
328,128.75
329,128.75
330,126.0
331,126.0
332,124.5
333,124.5
334,123.0
335,123.0
336,124.0
337,124.0
338,124.5
339,124.5
340,124.5
341,124.5
342,124.5
343,124.5
344,123.0
345,123.0
346,123.5
347,123.5
348,124.0
349,124.0
350,123.5
351,123.5
352,125.0
353,126.0
354,126.0
355,125.5
356,125.5
357,127.0
358,127.0
359,125.0
360,125.0
361,127.0
362,127.0
363,127.75
364,127.75
365,128.75
366,128.75
367,128.75
368,128.75
369,128.75
370,128.25
371,127.75
372,128.25
373,128.25
374,127.0
375,127.0
376,128.75
377,128.75
378,129.25
379,129.25
380,127.75
381,127.75
382,128.25
383,128.25
384,127.75
385,127.75
386,128.75
387,126.0
388,126.0
389,126.0
390,128.75
391,129.25
392,129.25
393,128.25
394,128.25
395,128.75
396,128.75
397,126.5
398,126.5
399,127.75
400,127.0
401,127.0
402,128.25
403,128.25
404,128.25
405,128.25
406,127.0
407,127.0
408,127.0
409,127.0
410,126.5
411,126.5
412,125.5
413,125.5
414,127.75
415,127.75
416,127.0
417,126.5
418,126.5
419,125.5
420,125.5
421,127.0
422,127.0
423,127.75
424,127.75
425,127.0
426,127.0
427,127.75
428,127.75
429,128.75
430,128.75
431,129.25
432,129.25
433,129.25
434,130.5
435,130.5
436,132.25
437,132.25
438,131.5
439,131.5
440,130.5
441,130.5
442,131.0
443,131.0
444,131.0
445,129.75
446,129.75
447,128.75
448,128.75
449,125.0
450,125.0
451,127.0
452,127.0
453,126.5
454,126.5
455,125.0
456,125.0
457,122.5
458,122.5
459,121.5
460,121.5
461,121.5
462,121.5
463,118.5
464,118.5
465,120.0
466,120.0
467,121.0
468,121.0
469,123.5
470,123.5
471,124.5
472,124.0
473,124.0
474,124.5
475,124.5
476,126.0
477,126.0
478,126.5
479,126.5
480,127.75
481,127.75
482,128.75
483,128.75
484,128.75
485,128.75
486,128.25
487,128.25
488,128.75
489,128.75
490,128.75
491,128.75
492,128.75
493,127.75
494,127.75
495,127.75
496,127.75
497,127.0
498,127.0
499,128.25
500,128.25
501,128.25
502,126.0
503,127.0
504,128.75
505,128.75
506,128.25
507,128.25
508,128.25
509,128.25
510,128.75
511,128.75
512,127.75
513,127.75
514,127.75
515,127.75
516,128.25
517,128.25
518,127.0
519,127.75
520,127.75
521,128.25
522,128.25
523,127.75
524,127.75
525,127.0
526,127.0
527,126.0
528,126.0
529,126.0
530,126.0
531,126.5
532,126.5
533,126.5
534,126.5
535,127.0
536,127.0
537,126.0
538,127.75
539,127.75
540,127.0
541,127.0
542,127.75
543,127.75
544,127.75
545,127.75
546,129.25
547,129.25
548,129.25
549,129.25
550,129.25
551,131.0
552,131.0
553,129.75
554,129.75
555,128.75
556,128.75
557,127.75
558,127.75
559,128.75
560,128.75
561,128.25
562,128.25
563,128.25
564,128.75
565,128.75
566,128.75
567,128.75
568,128.75
569,128.75
570,128.75
571,128.75
572,126.0
573,126.0
574,126.5
575,126.5
576,127.0
577,127.0
578,127.75
579,127.75
580,126.0
581,125.0
582,125.0
583,127.75
584,127.75
585,127.75
586,127.0
587,127.75
588,127.75
589,128.25
590,128.25
591,127.0
592,127.0
593,124.5
594,124.5
595,126.5
596,126.5
597,126.5
598,126.5
599,126.5
600,126.5
601,126.5
602,128.25
603,128.25
604,127.0
605,127.0
606,127.75
607,127.75
608,127.0
609,127.0
610,127.75
611,127.75
612,126.0
613,126.0
614,127.75
615,128.25
616,128.25
617,128.25
618,128.25
619,127.0
620,127.0
621,128.25
622,128.25
623,127.75
624,127.75
625,128.75
626,128.75
627,128.75
628,128.75
629,131.0
630,131.0
631,131.0
632,132.25
633,132.25
634,132.25
635,132.25
636,132.25
637,132.25
638,134.0
639,134.5
640,134.5
641,134.0
642,134.0
643,134.0
644,134.0
645,133.25
646,133.25
647,132.25
648,134.0
649,134.0
650,134.0
651,134.0
652,133.25
653,133.25
654,133.25
655,133.25
656,132.75
657,131.5
658,131.5
659,132.25
660,132.25
661,132.25
662,132.25
663,132.75
664,132.75
665,133.25
666,131.5
667,131.5
668,131.5
669,131.5
670,132.75
671,132.75
672,131.0
673,131.0
674,129.75
675,129.75
676,129.25
677,130.5
678,130.5
679,128.25
680,128.25
681,130.5
682,130.5
683,130.5
684,130.5
685,131.5
686,131.5
687,131.0
688,131.0
689,132.25
690,132.75
691,132.75
692,132.75
693,132.75
694,134.0
695,134.0
696,134.5
697,135.75
698,135.75
699,135.75
700,135.75
701,133.25
702,133.25
703,132.25
704,132.25
705,134.5
706,132.75
707,132.75
708,133.25
709,133.25
710,134.0
711,134.0
712,134.0
713,134.0
714,134.0
715,134.0
716,134.0
717,134.0
718,134.0
719,132.25
720,132.25
721,133.25
722,133.25
723,133.25
724,133.25
725,133.25
726,132.75
727,132.75
728,130.5
729,130.5
730,133.25
731,133.25
732,132.75
733,134.0
734,134.0
735,134.0
736,134.0
737,133.25
738,133.25
739,129.75
740,129.75
741,131.0
742,131.0
743,133.25
744,134.0
745,134.0
746,135.25
747,135.25
748,134.0
749,134.0
750,133.25
751,133.25
752,129.25
753,131.0
754,131.0
755,130.5
756,130.5
757,132.25
758,132.25
759,132.75
760,132.75
761,132.75
762,132.25
763,132.25
764,131.5
765,131.5
766,132.25
767,132.25
768,131.5
769,131.5
770,132.25
771,132.25
772,132.25
773,130.5
774,130.5
775,129.25
776,129.25
777,127.75
778,127.75
779,128.75
780,128.75
781,128.25
782,128.25
783,129.75
784,129.75
785,129.75
786,130.5
787,130.5
788,128.75
789,128.75
790,129.25
791,129.25
792,128.25
793,128.25
794,127.75
795,127.75
796,129.75
797,129.75
798,124.5
799,124.5
800,113.25
801,113.25
802,112.75
803,112.75
804,121.5
805,121.5
806,124.0
807,124.0
808,123.5
809,123.5
810,126.0
811,126.0
812,128.25
813,128.25
814,128.25
815,129.25
816,129.25
817,129.75
818,129.75
819,130.5
820,130.5
821,130.5
822,130.5
823,130.5
824,130.5
825,128.25
826,126.0
827,126.0
828,128.25
829,128.25
830,128.75
831,128.75
832,129.75
833,129.75
834,129.75
835,129.75
836,126.0
837,126.0
838,124.5
839,124.5
840,125.5
841,125.5
842,122.5
843,123.5
844,123.5
845,120.0
846,120.0
847,126.5
848,126.5
849,128.25
850,128.25
851,127.0
852,127.0
853,127.75
854,127.75
855,128.25
856,128.25
857,128.25
858,128.25
859,130.5
860,129.75
861,129.75
862,131.0
863,131.0
864,130.5
865,130.5
866,128.25
867,128.25
868,129.25
869,129.25
870,126.5
871,126.5
872,126.0
873,126.0
874,126.5
875,127.75
876,127.75
877,127.75
878,127.75
879,127.0
880,127.0
881,126.5
882,126.5
883,127.75
884,127.75
885,127.0
886,127.0
887,127.0
888,127.0
889,127.75
890,127.75
891,127.0
892,128.75
893,128.75
894,128.75
895,128.75
896,127.75
897,127.75
898,123.5
899,123.5
900,124.0
901,124.0
902,122.5
903,122.5
904,123.0
905,123.0
906,120.5
907,120.5
908,120.5
909,120.5
910,119.5
911,119.5
912,120.0
913,120.0
914,120.0
915,120.0
916,118.0
917,118.0
918,116.75
919,116.75
920,118.0
921,118.0
922,118.5
