,FHR
0,150.0
1,150.0
2,153.0
3,150.75
4,151.5
5,153.75
6,153.75
7,154.75
8,155.5
9,155.5
10,156.25
11,156.25
12,158.0
13,158.0
14,158.0
15,156.25
16,158.75
17,158.75
18,158.0
19,157.0
20,157.0
21,155.5
22,153.75
23,153.75
24,153.0
25,155.5
26,155.5
27,154.75
28,153.75
29,153.75
30,148.5
31,148.5
32,145.0
33,144.25
34,144.25
35,143.5
36,143.5
37,146.25
38,145.75
39,145.75
40,146.25
41,146.25
42,147.0
43,148.5
44,148.5
45,149.25
46,152.25
47,152.25
48,152.25
49,152.25
50,154.75
51,153.75
52,153.75
53,156.25
54,155.5
55,155.5
56,154.75
57,156.25
58,156.25
59,157.0
60,158.0
61,158.0
62,158.0
63,153.75
64,153.75
65,155.5
66,155.5
67,152.25
68,155.5
69,155.5
70,155.5
71,156.25
72,156.25
73,158.0
74,158.75
75,158.75
76,159.5
77,160.5
78,160.5
79,158.0
80,160.5
81,160.5
82,158.75
83,158.75
84,158.75
85,158.75
86,160.5
87,160.5
88,160.5
89,161.25
90,161.25
91,160.5
92,160.5
93,160.5
94,160.5
95,158.75
96,158.75
97,160.5
98,159.5
99,159.5
100,158.0
101,158.75
102,158.75
103,159.5
104,160.5
105,160.5
106,160.5
107,159.5
108,159.5
109,160.5
110,160.5
111,160.5
112,160.5
113,159.5
114,159.5
115,162.25
116,162.25
117,162.25
118,163.0
119,162.25
120,162.25
121,162.25
122,160.5
123,159.5
124,159.5
125,159.5
126,159.5
127,157.0
128,158.75
129,158.75
130,160.5
131,159.5
132,159.5
133,160.5
134,158.75
135,158.75
136,162.25
137,159.5
138,159.5
139,162.25
140,162.25
141,162.25
142,162.25
143,162.25
144,162.25
145,162.25
146,164.0
147,162.25
148,164.0
149,163.0
150,162.25
151,162.25
152,162.25
153,163.0
154,163.0
155,164.0
156,163.0
157,163.0
158,164.75
159,164.75
160,164.75
161,165.75
162,166.75
163,166.75
164,166.75
165,166.75
166,167.5
167,167.5
168,167.5
169,166.75
170,166.75
171,165.75
172,165.75
173,165.75
174,165.75
175,164.75
176,164.75
177,165.75
178,164.0
179,164.0
180,164.0
181,164.0
182,164.75
183,164.75
184,164.0
185,165.75
186,165.75
187,165.75
188,165.75
189,165.75
190,166.75
191,167.5
192,167.5
193,167.5
194,167.5
195,166.75
196,166.75
197,168.5
198,167.5
199,167.5
200,167.5
201,169.5
202,169.5
203,168.5
204,170.5
205,170.5
206,170.5
207,170.5
208,170.5
209,170.5
210,170.5
211,170.5
212,170.5
213,170.5
214,169.5
215,169.5
216,169.5
217,168.5
218,166.75
219,166.75
220,165.75
221,164.0
222,164.0
223,164.75
224,161.25
225,161.25
226,161.25
227,158.75
228,159.5
229,159.5
230,155.5
231,155.5
232,155.5
233,150.75
234,150.75
235,152.25
236,157.0
237,157.0
238,156.25
239,155.5
240,155.5
241,154.75
242,153.75
243,153.75
244,155.5
245,155.5
246,157.0
247,159.5
248,159.5
249,160.5
250,160.5
251,160.5
252,159.5
253,158.0
254,158.0
255,158.0
256,158.75
257,158.75
258,158.75
259,159.5
260,159.5
261,159.5
262,157.0
263,157.0
264,158.0
265,155.5
266,155.5
267,156.25
268,153.75
269,153.75
270,156.25
271,157.0
272,157.0
273,158.0
274,158.75
275,158.75
276,159.5
277,159.5
278,159.5
279,158.75
280,158.75
281,158.75
282,159.5
283,158.75
284,158.75
285,158.75
286,162.25
287,162.25
288,160.5
289,160.5
290,160.5
291,160.5
292,161.25
293,161.25
294,160.5
295,158.75
296,158.75
297,159.5
298,156.25
299,156.25
300,155.5
301,155.5
302,153.0
303,150.75
304,150.75
305,145.75
306,144.25
307,144.25
308,142.25
309,142.25
310,140.25
311,140.25
312,140.25
313,140.25
314,142.25
315,140.25
316,140.25
317,140.25
318,140.75
319,140.75
320,142.75
321,142.75
322,140.75
323,141.5
324,141.5
325,144.25
326,144.25
327,145.75
328,145.75
329,145.75
330,143.5
331,143.5
332,148.5
333,150.75
334,150.75
335,153.75
336,154.75
337,154.75
338,156.25
339,156.25
340,156.25
341,156.25
342,156.25
343,157.0
344,157.0
345,157.0
346,159.5
347,160.5
348,160.5
349,161.25
350,160.5
351,160.5
352,160.5
353,161.25
354,161.25
355,161.25
356,159.5
357,159.5
358,159.5
359,159.5
360,159.5
361,158.75
362,159.5
363,159.5
364,155.5
