,FHR
0,145.75
1,147.0
2,147.0
3,147.75
4,147.75
5,148.5
6,149.25
7,149.25
8,150.0
9,150.75
10,150.75
11,151.5
12,152.25
13,152.25
14,153.0
15,153.0
16,153.0
17,153.0
18,153.0
19,153.0
20,154.75
21,154.75
22,155.5
23,154.75
24,154.75
25,156.25
26,156.25
27,156.25
28,157.0
29,157.0
30,158.0
31,159.5
32,159.5
33,158.75
34,160.5
35,160.5
36,160.5
37,160.5
38,160.5
39,162.25
40,161.25
41,160.5
42,160.5
43,163.0
44,162.25
45,162.25
46,163.0
47,162.25
48,162.25
49,162.25
50,163.0
51,163.0
52,160.5
53,160.5
54,160.5
55,155.5
56,155.5
57,155.5
58,157.0
59,158.0
60,158.0
61,158.75
62,158.75
63,158.0
64,158.75
65,158.75
66,159.5
67,159.5
68,159.5
69,161.25
70,160.5
71,162.25
72,162.25
73,161.25
74,162.25
75,162.25
76,162.25
77,162.25
78,162.25
79,163.0
80,163.0
81,163.0
82,164.0
83,163.0
84,163.0
85,164.0
86,164.0
87,164.0
88,164.0
89,163.0
90,163.0
91,163.0
92,158.75
93,158.75
94,157.0
95,153.0
96,153.0
97,150.0
98,146.25
99,146.25
100,147.0
101,147.0
102,145.75
103,143.5
104,143.5
105,147.75
106,147.75
107,148.5
108,148.5
109,148.5
110,148.5
111,148.5
112,150.75
113,151.5
114,151.5
115,151.5
116,151.5
117,151.5
118,152.25
119,154.75
120,154.75
121,151.5
122,151.5
123,153.75
124,150.0
125,150.0
126,151.5
127,152.25
128,152.25
129,153.75
130,154.75
131,154.75
132,156.25
133,157.0
134,157.0
135,158.75
136,158.0
137,158.0
138,160.5
139,160.5
140,160.5
141,161.25
142,161.25
143,161.25
144,163.0
145,161.25
146,161.25
147,164.75
148,162.25
149,162.25
150,164.75
151,163.0
152,163.0
153,163.0
154,162.25
155,162.25
156,160.5
157,161.25
158,161.25
159,160.5
160,158.75
161,158.75
162,156.25
163,154.75
164,154.75
165,152.25
166,151.5
167,151.5
168,150.75
169,150.75
170,150.0
171,150.0
172,150.0
173,150.0
174,149.25
175,149.25
176,150.0
177,150.0
178,147.75
179,150.0
180,150.0
181,149.25
182,149.25
183,148.5
184,148.5
185,148.5
186,150.75
187,148.5
188,148.5
189,147.0
190,147.0
191,147.0
192,147.75
193,147.75
194,147.0
195,147.0
196,143.5
197,143.5
198,145.75
199,146.25
200,146.25
201,144.25
202,147.0
203,147.0
204,148.5
205,148.5
206,149.25
207,150.75
208,150.75
209,150.75
210,151.5
211,151.5
212,152.25
213,151.5
214,151.5
215,149.25
216,149.25
217,149.25
218,149.25
219,145.75
220,146.25
221,145.75
222,145.75
223,146.25
224,146.25
225,147.75
226,147.75
227,147.75
228,149.25
229,149.25
230,149.25
231,150.75
232,150.75
233,150.0
234,150.75
235,150.75
236,149.25
237,149.25
238,148.5
239,147.75
240,147.75
241,150.0
242,148.5
243,148.5
244,147.75
245,147.75
246,147.0
247,145.75
248,145.75
249,148.5
250,148.5
251,147.0
252,148.5
253,148.5
254,148.5
255,145.75
256,145.75
257,142.25
258,142.25
259,143.5
260,146.25
261,146.25
262,147.0
263,147.0
264,146.25
265,146.25
266,146.25
267,147.0
268,147.0
269,147.0
270,148.5
271,148.5
272,149.25
273,148.5
274,148.5
275,149.25
276,149.25
277,148.5
278,148.5
279,148.5
280,147.75
281,147.75
282,145.75
283,147.0
284,147.0
285,145.0
286,145.75
287,145.75
288,145.75
289,145.75
290,146.25
291,145.0
292,145.0
293,145.75
294,145.75
295,145.0
296,145.0
297,145.0
298,145.0
299,145.0
300,143.5
301,145.0
302,145.0
303,145.75
304,145.75
305,146.25
306,147.0
307,147.0
308,144.25
309,144.25
310,143.5
311,146.25
312,146.25
313,145.75
314,145.75
315,145.0
316,145.75
317,145.75
318,145.0
319,145.0
320,145.75
321,146.25
322,146.25
323,145.0
324,145.0
325,145.0
326,144.25
327,144.25
328,144.25
329,143.5
330,143.5
331,143.5
332,143.5
333,145.0
334,144.25
335,144.25
336,143.5
337,143.5
338,144.25
339,142.25
340,142.25
341,144.25
342,144.25
343,142.75
344,142.75
345,143.5
346,144.25
347,144.25
348,145.0
349,145.0
350,145.0
351,142.25
352,142.25
353,142.25
354,142.25
355,139.0
356,140.75
357,140.75
358,135.75
359,135.75
360,138.25
361,138.25
362,139.0
363,140.25
364,140.25
365,140.75
366,140.75
367,141.5
368,143.5
369,143.5
370,143.5
371,143.5
372,143.5
373,142.75
374,142.75
375,142.25
376,142.25
377,140.75
378,141.5
379,141.5
380,141.5
381,141.5
382,140.25
383,140.25
384,142.25
385,142.25
386,142.25
387,142.75
